Date,Price
11/16/2022,1632.9
11/15/2022,1619
11/14/2022,1615.05
11/11/2022,1611.15
11/10/2022,1524.75
11/9/2022,1508.35
11/7/2022,1508.8
11/4/2022,1497.15
11/3/2022,1507.55
11/2/2022,1514.2
11/1/2022,1513.25
10/31/2022,1496.7
10/28/2022,1458.7
10/27/2022,1454.4
10/25/2022,1450.9
10/24/2022,1461.05
10/21/2022,1438.6
10/20/2022,1448.8
10/19/2022,1458.65
10/18/2022,1443.85
10/17/2022,1446.55
10/14/2022,1439
10/13/2022,1393.6
10/12/2022,1409.8
10/11/2022,1400.65
10/10/2022,1415
10/7/2022,1430.8
10/6/2022,1437
10/4/2022,1453
10/3/2022,1413.2
9/30/2022,1421.35
9/29/2022,1382.35
9/28/2022,1389.55
9/27/2022,1413.85
9/26/2022,1426.65
9/23/2022,1446.15
9/22/2022,1486
9/21/2022,1518.35
9/20/2022,1520.7
9/19/2022,1502.6
9/16/2022,1492.75
9/15/2022,1520.7
9/14/2022,1528.65
9/13/2022,1513.1
9/12/2022,1493.55
9/9/2022,1498.6
9/8/2022,1497.6
9/7/2022,1482.3
9/6/2022,1489.35
9/5/2022,1495.05
9/2/2022,1485.5
9/1/2022,1472.15
8/30/2022,1486.1
8/29/2022,1439.4
8/26/2022,1465.1
8/25/2022,1464.85
8/24/2022,1472.85
8/23/2022,1465.8
8/22/2022,1470.35
8/19/2022,1493.05
8/18/2022,1511.7
8/17/2022,1509.9
8/16/2022,1502.15
8/12/2022,1485.15
8/11/2022,1485.7
8/10/2022,1466.3
8/8/2022,1462.05
8/5/2022,1427.05
8/4/2022,1431.9
8/3/2022,1433.6
8/2/2022,1430.25
8/1/2022,1446.15
7/29/2022,1434.2
7/28/2022,1416.85
7/27/2022,1404.4
7/26/2022,1393.75
7/25/2022,1396.6
7/22/2022,1392.5
7/21/2022,1360.75
7/20/2022,1365.05
7/19/2022,1348.05
7/18/2022,1347.55
7/15/2022,1362.05
7/14/2022,1351.05
7/13/2022,1357.85
7/12/2022,1391.8
7/11/2022,1406.15
7/8/2022,1397.1
7/7/2022,1395.8
7/6/2022,1371.25
7/5/2022,1352.6
7/4/2022,1355.65
7/1/2022,1353.75
6/30/2022,1348
6/29/2022,1343.95
6/28/2022,1345.9
6/27/2022,1356.25
6/24/2022,1353.8
6/23/2022,1335.15
6/22/2022,1330.25
6/21/2022,1336.55
6/20/2022,1322.15
6/17/2022,1289.75
6/16/2022,1281.3
6/15/2022,1307.45
6/14/2022,1312
6/13/2022,1326.6
6/10/2022,1351.1
6/9/2022,1377.7
6/8/2022,1367.4
6/7/2022,1362.6
6/6/2022,1378.45
6/3/2022,1380.3
6/2/2022,1385.1
6/1/2022,1394.85
5/31/2022,1388.95
5/30/2022,1401.55
5/27/2022,1392.05
5/26/2022,1366.7
5/25/2022,1328.8
5/24/2022,1318.95
5/23/2022,1304
5/20/2022,1320.95
5/19/2022,1287.05
5/18/2022,1313.9
5/17/2022,1314
5/16/2022,1305.1
5/13/2022,1291.35
5/12/2022,1303.05
5/11/2022,1348.6
5/10/2022,1341.05
5/9/2022,1319.85
5/6/2022,1317.6
5/5/2022,1352.95
5/4/2022,1356
5/2/2022,1403.7
4/29/2022,1384.6
4/28/2022,1371.35
4/27/2022,1372.55
4/26/2022,1372.05
4/25/2022,1365.75
4/22/2022,1355.6
4/21/2022,1374.35
4/20/2022,1354.3
4/19/2022,1342.2
4/18/2022,1395.45
4/13/2022,1464.95
4/12/2022,1493.5
4/11/2022,1496.15
4/8/2022,1514.65
4/7/2022,1516.75
4/6/2022,1550.85
4/5/2022,1608.25
4/4/2022,1656.8
4/1/2022,1506
3/31/2022,1470.35
3/30/2022,1476.95
3/29/2022,1451.8
3/28/2022,1432.8
3/25/2022,1430.9
3/24/2022,1442.65
3/23/2022,1479.25
3/22/2022,1494.15
3/21/2022,1486.5
3/17/2022,1480.05
3/16/2022,1448.15
3/15/2022,1424
3/14/2022,1442.55
3/11/2022,1396.8
3/10/2022,1392.7
3/9/2022,1371.15
3/8/2022,1327.8
3/7/2022,1324.8
3/4/2022,1366.5
3/3/2022,1371
3/2/2022,1374.25
2/28/2022,1426.25
2/25/2022,1456.1
2/24/2022,1419.4
2/23/2022,1500.9
2/22/2022,1510.7
2/21/2022,1522.1
2/18/2022,1512.35
2/17/2022,1506.5
2/16/2022,1515.75
2/15/2022,1517.8
2/14/2022,1473.7
2/11/2022,1518.85
2/10/2022,1525.1
2/9/2022,1497.6
2/8/2022,1461.85
2/7/2022,1468.15
2/4/2022,1524
2/3/2022,1515.35
2/2/2022,1531.2
2/1/2022,1497
1/31/2022,1485.7
1/28/2022,1463.25
1/27/2022,1474.95
1/25/2022,1488.05
1/24/2022,1486.65
1/21/2022,1521.6
1/20/2022,1509
1/19/2022,1518.45
1/18/2022,1529.25
1/17/2022,1521.5
1/14/2022,1545.15
1/13/2022,1528
1/12/2022,1556.65
1/11/2022,1565.9
1/10/2022,1559.15
1/7/2022,1550.55
1/6/2022,1539.75
1/5/2022,1564.85
1/4/2022,1528.55
1/3/2022,1519.65
12/31/2021,1479.4
12/30/2021,1461.5
12/29/2021,1453.85
12/28/2021,1460.8
12/27/2021,1450.8
12/24/2021,1438.9
12/23/2021,1444.1
12/22/2021,1445.2
12/21/2021,1441.8
12/20/2021,1425.65
12/17/2021,1473.05
12/16/2021,1500.1
12/15/2021,1500
12/14/2021,1502.45
12/13/2021,1511.15
12/10/2021,1522.55
12/9/2021,1526.85
12/8/2021,1553.8
12/7/2021,1525.7
12/6/2021,1503.8
12/3/2021,1513.55
12/2/2021,1525.75
12/1/2021,1504.65
11/30/2021,1493.55
11/29/2021,1501.25
11/26/2021,1489.9
11/25/2021,1525.95
11/24/2021,1518.05
11/23/2021,1515.55
11/22/2021,1515.35
11/18/2021,1539.4
11/17/2021,1530.8
11/16/2021,1548
11/15/2021,1557.25
11/12/2021,1553
11/11/2021,1548.3
11/10/2021,1555.25
11/9/2021,1572.25
11/8/2021,1600.25
11/4/2021,1593.95
11/3/2021,1581.45
